,word,score
0,Memorable,-0.0049654140432126535
1,for,0.0011339723783183697
2,a,0.002788533309328609
3,peculiar,0.004559730252391548
4,malaise,-0.032465650885572905
5,that,0.004086754961627127
6,renders,-0.06050637648990204
7,its,0.0036172160926569085
8,tension,0.032320719215619985
9,flaccid,-0.19851075618145625
10,and,0.04232515882067388
11,",",0.03222010806596737
12,by,0.017499814086227798
13,extension,0.030004358708944637
14,surprises,0.21245870797746252
15,limp,-0.8667872680351678
16,resolutions,-0.49437288644919586
17,ritual,0.04019056431058311
18,.,0.1789811264117098
19,The,-0.01135487915492513
20,movie,0.0001243369883179251
21,'s,0.002756907368894706
22,progression,0.006482440973990908
23,into,-0.01469857274837608
24,rambling,-0.10942009154912347
25,incoherence,-0.266924451701925
26,gives,0.07311298769140842
27,new,0.04108537261530122
28,meaning,0.019864587591643806
29,to,-0.017477637072538188
30,the,0.046407801294448145
31,phrase,-0.21280202771232445
32,`,-0.2052054094028933
33,fatal,-0.5007115490601188
34,script,-0.18823872175900747
35,error,-0.7507199202590327
36,',-0.20147340382723056
37,It,-0.0030830125089373744
38,shows,0.003103686413353519
39,some,-0.004855261604398116
40,studios,-0.003543274462819615
41,firmly,0.01623186356948748
42,believe,0.008841621865070981
43,people,0.004544004329991164
44,have,-0.003026087435283208
45,lost,-0.001337344684700513
46,ability,0.1716768511102381
47,think,-0.0790461348509267
48,will,0.18667428615466397
49,forgive,0.08533240370900513
50,any,-0.12774234351183297
51,shoddy,-1.2818832873920543
52,product,-0.858483879802415
53,as,0.03669717306940566
54,long,-0.40134902613712964
55,there,0.001854639255656067
56,little,-0.5749461013966051
57,girl-on-girl,-0.543894499948268
58,action,-0.6882337132234961
59,Director,-2.295906003719232e-05
60,George,-0.00010843459443296722
61,Hickenlooper,-0.00038253062714275695
62,has,1.6859864334078237e-05
63,had,-0.00010961247815124824
64,success,0.00014553742551226263
65,with,0.00023972599122743752
66,documentaries,0.0003738062395026657
67,but,-0.000353139658754013
68,here,0.00010830434022131412
69,his,0.00042000187200727686
70,sense,0.0009292271578823022
71,of,0.00029402321889473646
72,story,0.0009244305767935981
73,juvenile,-0.004085121526012042
74,camera,0.003877081688290014
75,movements,-0.0007409000366243217
76,smack,-0.017840647597966573
77,film,0.004614361926822434
78,school,-0.001023611496857755
79,undergrad,-0.025810660460235675
80,maudlin,-0.16171732973793773
81,ending,0.005659653158895943
82,might,-0.08001531202766689
83,not,-0.16913197100944066
84,gotten,-0.31888334417994
85,him,-0.045321916532556884
86,in,0.14456159589796397
87,first,0.3240308908290247
88,place,0.29569238827529876
89,scenes,0.0002838865731076602
90,all,-5.882957974049624e-05
91,suspense,0.0005561568176652023
92,20-car,-0.003502303718714618
93,pileup,-0.01478778417137145
94,while,0.0024027655047235683
95,plot,-0.005740276456379233
96,holes,-0.025992116830332902
97,are,0.002988118887347301
98,big,0.010585699927566576
99,enough,0.0202281901052346
100,train,0.009655380246682669
101,car,-0.10425902600034903
102,drive,0.0390240992340374
103,through,0.05471246730684662
104,--,0.014433389720743765
105,if,0.16110283891442803
106,Kaos,-0.09154159763159643
107,n't,-0.6553153179569595
108,blown,-0.4489080125208784
109,them,0.2759279720311844
110,up,-0.01103209462191675
111,There,-0.0007532470936596272
112,now,0.000606860589620188
113,two,0.0005795689178910694
114,signs,-0.020289226892100644
115,M.,0.0024839503058798435
116,Night,-0.0026762512200370087
117,Shyamalan,0.009037437928297743
118,debut,0.00791712202357991
119,feature,0.015292808059345471
120,sucked,-0.2205483140329866
121,he,0.007660912315858389
122,give,0.10312572040647333
123,mystic,0.18172213107351212
124,genres,0.31337996135107815
125,cinema,0.4150466476958026
126,:,0.07580258935962109
127,Unbreakable,-0.4010168062343844
128,Signs,0.22528254688598814
129,-LRB-,-0.001101625535241943
130,Breheny,0.0038801109531300835
131,-RRB-,-0.003495198124977671
132,lensing,0.03906873161769202
133,New,0.015201497206543277
134,Zealand,0.011319926300209115
135,Cook,0.011898299441275446
136,Island,0.04681842330222727
137,locations,0.014487699950976846
138,captures,0.35418114906121656
139,both,0.013573154290216861
140,beauty,0.30429773441026875
141,land,-0.003126774693883063
142,No,-0.10142918936010731
143,Such,-0.02503220957982054
144,Thing,-0.024114490074232803
145,breaks,-0.0014149254156874114
146,no,-0.18191848945191574
147,ground,-0.012605782704818214
148,treads,-0.31893387570050824
149,old,-0.06222457109851699
150,turf,-0.1904198669708589
151,like,-0.45052313231610364
152,hippopotamus,-0.7354232788770574
153,ballerina,0.15360060090575606
154,Is,-0.07463307991934542
155,so,-0.01470650133374447
156,much,-0.0471811533219598
157,work,0.044646716479417134
158,entertainment,0.08476939100747008
159,it,0.1042801229504067
160,is,0.0996204842181954
161,unique,1.614162085146558
162,well-crafted,1.8221925669899173
163,psychological,0.4225438533860596
164,study,0.43210157440805075
165,grief,1.8083115687920992
166,Upsetting,0.0009000472527153883
167,thought-provoking,0.02314343865301289
168,an,0.006566836442868783
169,odd,0.020618399863483808
170,purity,0.024797016888417706
171,does,-0.07696957748120554
172,bring,0.13237481890668917
173,you,0.06860247347115067
